,pnName,eqpName,perfId,ymdms,volTage,amPere,arPower,atvPower,ratPower,pwFactor,accruePower,voltagerS,voltagesT,voltagetR,temperature
0,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000011,227.851,0.366,73355,3492,4294890000,10,2124950,394.788,394.65,393.049,21.696
1,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000036,227.825,0.365,73561,3457,4294890000,10,2124950,395.018,394.604,393.361,21.696
2,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000151,227.884,0.366,74557,3397,4294890000,10,2124950,394.818,394.707,393.224,21.696
3,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000216,227.891,0.366,74292,3688,4294890000,10,2124950,394.518,394.719,393.361,21.696
4,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000241,227.704,0.366,74552,3775,4294890000,10,2124950,394.753,394.395,393.215,21.696
5,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000306,227.829,0.365,74087,3582,4294890000,10,2124950,395.063,394.611,393.416,21.696
6,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000356,227.907,0.367,74414,3236,4294890000,10,2124950,394.537,394.746,392.852,21.696
7,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000421,228.088,0.367,73978,3474,4294890000,10,2124950,394.807,395.06,393.461,21.696
8,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000446,227.946,0.366,73774,3565,4294890000,10,2124950,394.92,394.814,393.397,21.696
9,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000511,227.773,0.368,74638,3221,4294890000,10,2124950,394.558,394.514,393.034,21.696
10,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000536,227.601,0.365,74385,3632,4294890000,10,2124950,394.521,394.216,393.058,21.696
11,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000626,227.633,0.365,74361,3465,4294890000,10,2124950,394.691,394.272,393.21,21.696
12,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000651,227.785,0.366,73698,3644,4294890000,10,2124950,394.648,394.535,393.273,21.696
13,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000716,227.902,0.367,74026,3120,4294890000,10,2124950,394.7,394.738,393.063,21.696
14,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000741,227.694,0.366,73907,3660,4294890000,10,2124950,394.527,394.378,393.021,21.696
15,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000806,227.806,0.366,73612,3157,4294890000,10,2124950,394.379,394.572,393.129,21.696
16,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000856,227.992,0.367,73638,3720,4294890000,10,2124950,394.592,394.894,393.394,21.696
17,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000921,228.301,0.368,73806,3213,4294890000,10,2124950,395.112,395.429,393.924,21.696
18,PA-A-30_판넬PC,2층203호냉난방기,300,20210309000946,228.008,0.368,74064,3448,4294890000,10,2124950,394.539,394.921,393.667,21.696
