,pnName,eqpName,perfId,ymdms,volTage,amPere,arPower,atvPower,ratPower,pwFactor,accruePower,voltagerS,voltagesT,voltagetR,temperature
0,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000018,227.677,0.366,74183,3424,4294890000,10,2124850,392.808,394.348,391.639,21.504
1,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000043,227.013,0.366,74254,3573,4294890000,10,2124850,393.764,393.198,391.497,21.504
2,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000108,227.214,0.365,74067,3510,4294890000,10,2124850,393.068,393.546,391.312,21.504
3,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000158,227.214,0.365,74067,3510,4294890000,10,2124850,393.068,393.546,391.312,21.504
4,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000223,227.58,0.366,74106,3302,4294890000,10,2124850,393.79,394.18,392.207,21.504
5,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000248,227.61,0.365,74498,3128,4294890000,10,2124850,393.799,394.232,392.2,21.504
6,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000313,227.424,0.365,74590,3572,4294890000,10,2124850,393.68,393.91,392.036,21.504
7,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000338,227.524,0.366,75092,3377,4294890000,10,2124850,393.676,394.083,391.899,21.504
8,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000428,227.523,0.366,74811,3526,4294890000,10,2124850,393.636,394.081,392.058,21.504
9,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000453,227.523,0.366,74811,3526,4294890000,10,2124850,393.636,394.081,392.058,21.504
10,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000518,227.261,0.365,74796,3544,4294890000,10,2124850,393.349,393.628,391.967,21.504
11,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000543,227.533,0.368,73536,3606,4294890000,10,2124850,393.66,394.099,392.1,21.504
12,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000608,227.707,0.366,73324,3513,4294890000,10,2124850,393.529,394.4,392.164,21.504
13,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000658,227.29,0.367,74180,3170,4294890000,10,2124850,393.276,393.678,391.986,21.504
14,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000723,227.421,0.366,74166,3561,4294890000,10,2124850,393.693,393.905,392.284,21.504
15,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000748,227.421,0.366,74166,3561,4294890000,10,2124850,393.693,393.905,392.284,21.504
16,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000813,227.461,0.367,73601,3442,4294890000,10,2124850,393.68,393.974,392.287,21.504
17,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000838,227.584,0.366,73848,3442,4294890000,10,2124850,393.615,394.187,392.19,21.504
18,PA-A-30_판넬PC,2층203호냉난방기,300,20210308000953,227.137,0.366,74914,3335,4294890000,10,2124850,393.446,393.413,392.166,21.504
19,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001018,227.138,0.365,74481,3289,4294890000,10,2124850,393.931,393.415,392.245,21.504
20,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001043,227.271,0.366,74645,3396,4294890000,10,2124850,393.217,393.645,391.663,21.504
21,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001108,227.516,0.366,74801,3297,4294890000,10,2124850,392.701,394.069,391.573,21.504
22,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001223,227.422,0.368,73810,3313,4294890000,10,2124850,394.284,393.906,392.401,21.504
23,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001248,227.48,0.366,72872,3404,4294890000,10,2124850,393.931,394.007,392.471,21.504
24,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001313,227.528,0.367,73616,3434,4294890000,10,2124850,394.163,394.09,392.543,21.504
25,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001338,227.622,0.367,73346,3462,4294890000,10,2124850,394.277,394.253,392.798,21.504
26,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001453,227.657,0.366,73423,3218,4294890000,10,2124850,394.223,394.313,393.089,21.504
27,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001518,227.692,0.367,74009,3465,4294890000,10,2124850,394.518,394.374,392.938,21.504
28,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001543,227.652,0.368,74520,3443,4294890000,10,2124850,394.417,394.305,392.483,21.504
29,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001608,227.636,0.365,74472,3273,4294890000,10,2124850,393.92,394.277,392.207,21.504
30,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001723,227.745,0.366,74838,3424,4294890000,10,2124850,393.887,394.466,392.384,21.504
31,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001748,227.637,0.366,75151,3452,4294890000,10,2124850,393.506,394.279,392.067,21.504
32,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001813,227.427,0.364,74368,3452,4294890000,10,2124850,394.106,393.915,392.337,21.312
33,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001838,227.427,0.364,74368,3452,4294890000,10,2124850,394.106,393.915,392.337,21.312
34,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001928,227.409,0.366,74455,3753,4294890000,10,2124850,394.275,393.884,392.439,21.312
35,PA-A-30_판넬PC,2층203호냉난방기,300,20210308001953,227.633,0.366,73797,3371,4294890000,10,2124850,394.005,394.272,392.363,21.504
36,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002018,227.431,0.367,73649,3622,4294890000,10,2124850,394.081,393.922,392.23,21.504
37,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002043,227.343,0.367,74213,3371,4294890000,10,2124850,393.363,393.77,392.095,21.504
38,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002108,227.459,0.366,73444,3337,4294890000,10,2124850,394.123,393.971,392.458,21.504
39,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002223,227.263,0.366,73665,3617,4294890000,10,2124850,393.88,393.631,392.032,21.504
40,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002248,227.644,0.366,73485,3372,4294890000,10,2124850,393.737,394.291,391.993,21.504
41,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002313,227.644,0.366,73485,3372,4294890000,10,2124850,393.737,394.291,391.993,21.504
42,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002339,227.864,0.367,73126,3384,4294890000,10,2124850,394.189,394.672,392.498,21.312
43,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002454,227.605,0.365,73588,3158,4294890000,10,2124850,394.294,394.223,392.54,21.504
44,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002519,227.554,0.366,73413,3692,4294890000,10,2124850,394.256,394.135,392.588,21.504
45,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002544,227.509,0.367,74583,3594,4294890000,10,2124850,394.242,394.057,392.549,21.504
46,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002609,227.342,0.367,74583,3428,4294890000,10,2124850,394.057,393.768,392.439,21.504
47,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002724,227.461,0.366,73761,3457,4294890000,10,2124850,393.913,393.974,392.658,21.504
48,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002749,227.178,0.365,74497,3307,4294890000,10,2124850,393.856,393.484,392.233,21.504
49,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002814,227.405,0.368,74458,3487,4294890000,10,2124850,394.074,393.877,392.581,21.312
50,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002839,227.405,0.368,74458,3487,4294890000,10,2124850,394.074,393.877,392.581,21.312
51,PA-A-30_판넬PC,2층203호냉난방기,300,20210308002954,227.397,0.365,74573,3567,4294890000,10,2124850,393.714,393.863,392.064,21.504
52,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003019,227.535,0.368,74415,3429,4294890000,10,2124850,394.197,394.102,392.043,21.504
53,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003044,227.701,0.366,73564,3523,4294890000,10,2124850,394.44,394.39,392.781,21.312
54,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003109,227.392,0.366,73169,3437,4294890000,10,2124850,394.537,393.854,392.76,21.504
55,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003159,227.907,0.365,73516,3521,4294890000,10,2124850,394.682,394.746,393.065,21.504
56,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003224,227.815,0.366,74259,3509,4294890000,10,2124850,394.003,394.587,393.02,21.504
57,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003249,227.815,0.366,74259,3509,4294890000,10,2124850,394.003,394.587,393.02,21.504
58,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003314,227.764,0.365,72985,3253,4294890000,10,2124850,394.721,394.499,393.2,21.504
59,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003339,227.65,0.367,73992,3759,4294890000,10,2124850,394.45,394.301,392.952,21.504
60,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003429,227.629,0.366,74194,3488,4294890000,10,2124850,394.404,394.265,392.878,21.504
61,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003454,227.629,0.366,74194,3488,4294890000,10,2124850,394.404,394.265,392.878,21.504
62,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003519,227.667,0.365,74067,3150,4294890000,10,2124850,394.322,394.331,392.592,21.504
63,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003544,227.741,0.365,74340,3364,4294890000,10,2124850,394.535,394.459,392.743,21.312
64,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003609,227.626,0.366,74999,3443,4294890000,10,2124850,394.364,394.26,392.678,21.504
65,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003724,227.432,0.366,74670,3221,4294890000,10,2124850,393.988,393.924,392.171,21.504
66,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003749,227.543,0.366,74347,3153,4294890000,10,2124850,394.106,394.116,392.595,21.504
67,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003814,227.687,0.367,73645,3364,4294890000,10,2124850,394.293,394.365,392.784,21.504
68,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003839,227.667,0.367,73494,3556,4294890000,10,2124850,394.362,394.331,392.675,21.504
69,PA-A-30_판넬PC,2층203호냉난방기,300,20210308003954,227.277,0.366,74031,3428,4294890000,10,2124850,393.707,393.655,392.604,21.504
70,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004019,227.721,0.365,74058,3313,4294890000,10,2124850,394.033,394.424,392.656,21.504
71,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004044,227.755,0.366,73581,3363,4294890000,10,2124850,394.407,394.483,392.966,21.312
72,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004109,227.755,0.366,73581,3363,4294890000,10,2124850,394.407,394.483,392.966,21.312
73,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004159,227.747,0.368,73871,3904,4294890000,10,2124850,394.481,394.469,392.763,21.504
74,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004224,227.621,0.367,74384,3439,4294890000,10,2124850,394.085,394.251,392.497,21.504
75,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004249,227.536,0.367,74370,3312,4294890000,10,2124850,394.054,394.104,392.488,21.504
76,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004314,227.655,0.366,74470,3222,4294890000,10,2124850,394.149,394.31,392.569,21.504
77,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004339,227.635,0.364,73850,3314,4294890000,10,2124850,394.23,394.275,392.668,21.504
78,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004429,227.636,0.367,74308,3533,4294890000,10,2124850,394.329,394.277,392.859,21.504
79,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004454,227.702,0.367,74112,3451,4294890000,10,2124850,394.4,394.391,392.744,21.504
80,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004519,227.702,0.367,74112,3451,4294890000,10,2124850,394.4,394.391,392.744,21.504
81,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004544,227.711,0.367,74355,3677,4294890000,10,2124850,394.436,394.407,392.73,21.12
82,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004609,227.702,0.368,73891,3664,4294890000,10,2124850,394.426,394.391,392.919,21.504
83,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004659,227.702,0.368,73891,3664,4294890000,10,2124850,394.426,394.391,392.919,21.504
84,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004724,227.746,0.369,74362,3311,4294890000,10,2124850,394.547,394.468,392.917,21.504
85,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004749,227.739,0.366,74110,3579,4294890000,10,2124850,394.296,394.456,392.784,21.504
86,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004814,227.859,0.366,73949,3549,4294890000,10,2124850,394.691,394.663,393.144,21.504
87,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004839,227.914,0.365,73339,3481,4294890000,10,2124850,394.861,394.759,393.156,21.504
88,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004929,227.858,0.366,73084,3666,4294890000,10,2124850,394.677,394.662,393.079,21.12
89,PA-A-30_판넬PC,2층203호냉난방기,300,20210308004954,227.975,0.367,73245,3521,4294890000,10,2124850,394.868,394.864,393.475,21.504
