,pnName,eqpName,perfId,ymdms,volTage,amPere,arPower,atvPower,ratPower,pwFactor,accruePower,voltagerS,voltagesT,voltagetR,temperature
1396,PA-A-30_판넬PC,2층203호냉난방기,300,20210307123653,227.058,0.365,73257,3436,4294890000,10,2124850,392.872,393.276,391.527,21.696
1397,PA-A-30_판넬PC,2층203호냉난방기,300,20210307123718,227.541,0.366,72854,3014,4294890000,10,2124850,392.947,394.113,391.847,21.888
1398,PA-A-30_판넬PC,2층203호냉난방기,300,20210307123743,227.066,0.363,72303,3537,4294900000,10,2124850,392.888,393.29,391.549,21.696
1399,PA-A-30_판넬PC,2층203호냉난방기,300,20210307123808,227.066,0.363,72303,3537,4294900000,10,2124850,392.888,393.29,391.549,21.696
1400,PA-A-30_판넬PC,2층203호냉난방기,300,20210307123858,227.037,0.365,72764,3497,4294890000,10,2124850,393.167,393.24,391.662,21.504
1401,PA-A-30_판넬PC,2층203호냉난방기,300,20210307123923,227.602,0.367,74641,3640,4294890000,10,2124850,391.901,394.218,390.936,21.888
1402,PA-A-30_판넬PC,2층203호냉난방기,300,20210307123948,227.299,0.365,73887,3576,4294890000,10,2124850,392.706,393.693,391.506,21.696
1403,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124013,226.955,0.365,74086,3406,4294890000,10,2124850,392.77,393.098,391.554,21.696
1404,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124038,226.492,0.364,73601,3454,4294890000,10,2124850,392.557,392.296,391.066,21.888
1405,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124153,227.257,0.367,74218,3661,4294890000,10,2124850,392.72,393.621,391.36,21.696
1406,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124218,227.257,0.367,74218,3661,4294890000,10,2124850,392.72,393.621,391.36,21.696
1407,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124243,227.257,0.367,74218,3661,4294890000,10,2124850,392.72,393.621,391.36,21.696
1408,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124308,226.414,0.365,73899,3659,4294890000,10,2124850,392.164,392.161,391,21.888
1409,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124358,226.589,0.365,73607,3238,4294890000,10,2124850,392.043,392.464,391.272,21.696
1410,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124423,227.277,0.365,72917,3529,4294890000,10,2124850,392.221,393.655,391.463,21.888
1411,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124448,227.277,0.365,72917,3529,4294890000,10,2124850,392.221,393.655,391.463,21.888
1412,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124513,227.347,0.366,73958,3575,4294890000,10,2124850,393.179,393.777,391.724,21.888
